name,onset,offset,duration
fixation.ivt,1742267925946,1742267929223,3277
saccade,1742267918422,1742267918556,134
saccade,1742267918923,1742267918990,67
saccade,1742267919091,1742267919124,33
saccade,1742267920261,1742267920361,100
saccade,1742267921064,1742267921231,167
saccade,1742267922535,1742267922635,100
saccade,1742267922803,1742267922936,133
saccade,1742267924976,1742267925077,101
saccade,1742267925143,1742267925244,101
saccade,1742267929290,1742267929424,134
saccade,1742267929491,1742267929591,100
