timestamp,x,y
1742320458.334954,359.13087629994254,180.64040547211437
1742320458.5843604,350.98686537139946,329.9228081014005
1742320458.8337667,376.469685675209,244.80746030943874
1742320459.083173,386.20284664393677,216.8048437841229
1742320459.3325794,403.93109537313495,321.5045160755506
1742320459.5819857,421.55268701608895,312.347338798337
1742320459.831392,361.3392505760438,277.3179417064485
1742320460.0807984,375.63500910399296,223.2262178708342
1742320460.3302047,368.40259653252633,321.39707254472216
1742320460.579611,298.35041891478636,255.0818593893563
1742320460.8290174,431.1009292230257,246.3680033582167
1742320461.0784237,417.4046365935283,268.3189198943834
1742320461.32783,404.83836175960056,382.0585030985547
1742320461.5772362,345.1684552281555,357.9574538695896
1742320461.8266425,359.37671926017276,262.3804741850902
1742320462.0760489,434.54310328316734,284.1728413481562
1742320462.3254552,379.1412740863308,366.85504523187825
1742320462.5748615,372.38756964959,371.8488377766179
1742320462.8242679,396.9930525741053,318.7968004345815
1742320463.0736742,401.1225079801278,308.2649944929545
1742320463.3230805,321.56952827229173,281.43411627466827
1742320463.5724869,381.9930453490737,262.08814283166186
1742320463.8218932,307.764909600167,346.94437641086427
1742320464.0712996,391.7462418333618,269.06017688334975
1742320464.320706,375.5815467071009,293.266369593174
1742320464.5701122,399.71566399540205,345.9022482029142
1742320464.8195186,434.07477968092167,324.1440608584409
1742320465.068925,390.04030320151577,317.3905432428035
1742320465.3183312,364.7702505327,265.76850412717573
1742320465.5677376,449.08417859503663,320.334967183933
1742320465.817144,400.28787539516145,341.2767516887713
1742320466.0665503,393.68655409327,296.95377617998815
1742320466.3159566,401.42469474243785,262.60171679880506
1742320466.565363,503.9955937894015,254.38950345270914
1742320466.8147693,403.5569141574014,271.5296999888208
1742320467.0641756,380.1102030270187,292.32115404576257
1742320467.313582,508.8740239340253,231.05178953966026
1742320467.562988,333.4549691234688,203.3117612588283
1742320467.8123944,425.16600266474643,275.80171513777
1742320468.0618007,335.98929226990856,287.7635132636373
1742320468.311207,402.97508924856476,285.6375589497587
1742320468.5606134,529.495895592369,323.44173081213677
1742320468.8100197,395.7774897350663,319.62645990651384
1742320469.059426,494.88577237314905,303.7784705191059
1742320469.3088324,411.80706852062985,278.0581942725951
1742320469.5582387,385.58975465724876,279.3984938641786
1742320469.807645,403.49335664667115,303.2541117786388
1742320470.0570514,387.46558313537776,296.21553139059927
1742320470.3064578,345.7716691525899,318.04149522794177
1742320470.555864,359.8503272377156,312.73885475049855
